Name,_01,_02,_03,_04,_05,_06,_07,_08,_09,_10,_11,_12
X0058_Y0033,32.142857,68.3,40.903225,37.151516,91.09091,87.545456,72.454544,51.121212,36.39394,30.0,70.51515,86.77419
X0058_Y0034,46.796295,12.642858,51.718487,23.17227,92.336136,92.36975,80.57143,32.806725,62.12605,48.7521,54.084747,86.1203
X0059_Y0034,69.684746,45.599323,47.582916,42.018627,96.29495,57.19255,72.320595,60.169487,73.9638,48.05209,47.762623,82.92459
X0060_Y0034,-0.9052858,57.8933,22.781647,38.01218,98.21053,77.44635,76.285385,54.725353,67.39305,41.96431,54.63455,51.180912
X0061_Y0034,-12.0478525,43.88248,14.932594,38.994865,96.3604,85.43722,83.82612,35.451206,57.13251,32.739952,34.89701,49.44393
X0058_Y0035,100.0,67.233765,91.43578,43.45188,95.271965,46.012554,72.52301,40.56904,85.301254,51.594143,32.70476,37.29932
X0059_Y0035,85.625,65.4302,75.338104,29.767643,98.47557,66.98914,73.75733,67.43431,64.66102,18.656895,19.522877,69.26514
X0060_Y0035,58.18182,51.810955,84.55815,29.982477,98.99544,76.32278,69.77174,52.038303,58.448383,57.46707,13.031338,17.555809
X0061_Y0035,89.21875,61.234325,64.92232,25.036774,97.3156,80.99573,78.25581,63.515118,53.873024,37.309002,27.682674,42.87321
X0062_Y0035,94.77273,56.40185,50.241234,7.9043565,89.70706,80.92514,74.865295,39.838757,43.694016,30.256636,68.13136,58.07736
X0064_Y0035,39.64356,40.910385,41.201714,18.638577,81.499405,25.635311,37.84154,51.495846,46.92433,52.07092,29.152704,
X0068_Y0035,40.175945,9.141079,44.836437,29.89648,55.83851,54.770187,50.21532,40.90269,31.908903,57.302277,62.393375,86.049416
X0069_Y0035,95.607864,53.941498,41.270954,21.987238,69.734604,40.83266,76.74489,53.22985,41.615704,84.76403,71.43344,60.64502
X0070_Y0035,96.345985,25.85702,68.14368,27.531916,92.80647,14.037607,77.586876,92.41376,67.98547,72.52077,66.07352,77.117004
X0058_Y0036,,,,,,,,,,,,
X0059_Y0036,98.611115,97.316185,10.97254,47.541386,98.40716,79.61745,74.225204,33.234154,-9.310216,31.201342,30.257765,93.768776
X0060_Y0036,35.410957,83.98262,3.293269,30.855244,96.29216,57.316334,58.295097,62.05779,51.46189,66.22234,71.13289,36.15645
X0061_Y0036,75.33758,47.752125,33.28574,20.3547,96.282936,67.13313,67.29667,57.015884,57.890476,53.683876,73.258896,40.39597
X0062_Y0036,81.20192,22.931389,74.294914,28.139595,90.597534,60.455456,65.199036,46.60952,46.659393,55.455456,61.43736,43.644073
X0063_Y0036,85.94782,-0.29254556,73.39082,17.899132,74.294785,30.339415,63.934093,59.066013,55.520306,64.52595,57.27185,53.686516
X0064_Y0036,19.699438,2.847295,44.21306,25.736933,76.35647,29.789204,69.344475,75.37532,74.03428,70.82176,69.61351,
X0065_Y0036,98.333336,-5.5882354,0.7058824,20.941177,82.82353,-11.764706,90.52941,-14.117647,91.94118,33.588234,41.058823,
X0066_Y0036,,,,,,,,,,,,
X0067_Y0036,0.5099715,6.5393276,3.0565696,2.2942817,79.357895,35.67053,61.542213,-4.6954074,45.356762,79.6291,69.93946,6.7172728
X0068_Y0036,11.813182,28.240398,7.002837,13.705118,87.99364,55.497593,63.79338,27.278296,69.46373,75.49364,68.96782,47.773575
X0069_Y0036,86.78335,61.53408,49.244152,9.806247,77.41238,56.471157,86.16644,59.325012,73.5278,83.658264,77.78574,66.59484
X0070_Y0036,92.63636,48.272064,46.32442,39.975616,90.0427,20.329248,90.06189,72.82411,84.815575,77.365265,63.40241,61.637005
X0057_Y0037,,,,,,,,,,,,
X0058_Y0037,,,,,,,,,,,,
X0059_Y0037,97.0,95.66263,39.924427,45.373062,92.28552,81.3468,78.62896,37.077442,-14.010775,45.360943,63.823444,62.05763
X0060_Y0037,-3.9147582,59.415924,50.648,37.458073,87.81843,91.202614,77.78818,33.286892,60.51842,69.72119,49.727436,32.866283
X0061_Y0037,-9.544993,27.345331,58.5146,29.80836,94.3217,80.77725,69.20239,60.362988,67.1741,68.877525,57.536877,42.762756
X0062_Y0037,70.5814,8.138814,72.65623,21.728016,88.60393,58.294235,46.519863,61.42014,70.944885,61.682255,61.57573,48.26053
